"Do you have a name, or can I just call you 'mine'?",Normal,Science,Math,Computer,Sleep,Knock,Church
I seem to have lost my phone number. Can I have yours? ,"Do you have a name, or can I just call you 'mine'?","According to the second law of thermodynamics, you’re supposed to share your hotness with me.",Archimedes cried out “eureka” and ran around naked and filled with joy when he discovered that the volume of a solid can be determined by how much it displaces. Spend more time with me and you will do the same.,"A life without you, would be like a computer without an OS.",Are you a good night's sleep? Because I can't stop thinking about you.,Knock Knock Who's there? Al! Al who? Al give you a kiss if you open this door! ,"A boy gives a girl 12 roses. 11 real, 1 fake and he says to her "" I will stop loving you when all the roses die"""
"You're so fine, you made me forget my pickup line. ",I seem to have lost my phone number. Can I have yours? ,Are you a black hole? Because time stops when I’m with you.,Are you a 30 degree angle? Because you’re acute-y.,Anonymity makes me even more handsome.,Are you a nap? Because I could use one of you right about now.,Knock Knock Who's there? Aldo! Aldo who? Aldo anything for you! ,A face without freckles is like a night sky without stars.
Did we go to school together? I could swear we had chemistry. ,"You're so fine, you made me forget my pickup line. ",Are you a charged capacitor? Because I want to store energy inside you.,Are you a 45 degree angle? Because your perfect.,Are you a computer keyboard? Because you're my type.,Can I be the sandman and sprinkle some magic dust on you so we can dream together?,Knock Knock Who's there? Anime! Anime who? Are you from Japan? Cause you got anime-zing body. ,"All those curves, and me with no brakes!"
Want a raisin? No? How about a date? ,Did we go to school together? I could swear we had chemistry. ,Are you a charged particle? Because I feel a strong force between us.,Are you a 90 degree angle? 'Cause you are looking right!,Are you a computer whiz… it seems you know how to turn my software to hardware.,Can I be the Sandman to your Sleeping Beauty?,Knock Knock Who's there? Baghdad! Baghdad who? Are you from Iraq? Cos I'd love to see you Baghdad ass up ,"Apart from being sexy, what do you do for a living?"
What's your favorite drink? I'm asking so I know what to buy you on our first date. ,Want a raisin? No? How about a date? ,Are you a fermion? Because I can’t resist getting close to you.,Are you a math teacher because you got me harder than trigonometry,Are you a double? The thought of you always floats inside my head.,Can I be your blanket? I promise to keep you warm all night long.,"Knock knock Who's there? Bangkok! Bangkok who? Are you from the Thailand, cause tonight your going to BangKok. ",
Have we met? Because you look exactly like my next girlfriend. ,What's your favorite drink? I'm asking so I know what to buy you on our first date. ,Are you a muon? Because time flies when I’m with you.,Are you a math teacher? Because you got me harder than calculus.,"Are you an angel, because your texture mapping is divine!",Can I borrow a nap from you? Because I don't want to sleep alone tonight.,Knock Knock Who's there? Candice! Candice Who? Candice be love I'm feeling right now? ,Are those space pants? Because your ass is out of this world!
"I never believed in love at first sight, but that's before I saw you. ",Have we met? Because you look exactly like my next girlfriend. ,Are you a neutron star? Because I can’t resist your gravitational pull.,Are you the square root of 2? because I feel irrational when I'm around you,Are you an applet? You make me feel all GUI  inside.,Can we fall asleep together and wake up to a new day together?,"Knock Knock Who's there? Cynthia! Cynthia who? Cynthia you been away, I missed you. ",Are we related? Do you want to be?
Do you have a map? Because I just got lost in your eyes.  ,"I never believed in love at first sight, but that's before I saw you. ",Are you a neutron? Because you make my heart unstable.,"At absolute zero, you would still move me.",Are you an exception? Let me catch you.,Can we have a sleepover? Because I could really use your company tonight.,"Knock Knock Who's there? De Niro! De Niro who? De Niro I am to you, the more beautiful you get. ",Are you a banana? Because I find you a-peeling
"You owe me a drink. Because when I saw you, I dropped mine.",Do you have a map? Because I just got lost in your eyes.  ,Are you a nuclear reactor? Because you’re generating a lot of heat in my heart.,B equals T x N. I think you and I should study the T and N planes in depth,Are you my driver? Because you make my life worthwhile.,Can we just hold each other and drift off into dreamland?,"Knock Knock Who's there? Dubai! Dubai who? I know your Muslim, but would you allow me Dubai you a drink? ",Are you a beaver? Because daaaaam!
"They say nothing lasts forever, so will you be my nothing? ","You owe me a drink. Because when I saw you, I dropped mine.",Are you a particle accelerator? Because I want to speed up our interactions.,Baby i just drew a pic of you on my ti83 but you are sooo hot my screen melted,Are you sitting on the F5 key? Cause your ass is refreshing.,"Can we just lay here, forget about the world and fall asleep in each other's arms?",Knock Knock Who's there? Egg! Egg who? Eggcited to meet you. ,"Are you a camera? Because every time I look at you, I smile."
Want to go outside for some fresh air? You took my breath away. ,"They say nothing lasts forever, so will you be my nothing? ","Are you a particle in the quantum field? Because I can’t determine your position and velocity at the same time, and it’s driving me crazy.",Baby I wish I could live on a [integral of 1/cabin d cabin] with you.,Are your pants a compressed file? Because I'd love to unzip them!,Can we just stay in bed all day and never leave each other's side?,Knock Knock Who's there? Honey bee! Honey bee who? Honey bee a doll and give me dem digits. ,Are you a campfire? Because you are hot and I want s'more.
"If you were a song, you'd be the best single on the album. ",Want to go outside for some fresh air? You took my breath away. ,Are you a photon? Because you brighten up my day.,Baby if you were a 6 I would want to be your (reflection about the x-axis + then reflection about the y-axis) -->9,"As of now, my mother doesn't have a Facebook account so, if we were to take this thing to the next level, you wouldn't have to worry about rejecting her inappropriate Family Request.",Can't sleep because I'm too excited to wake up next to you.,Knock Knock Who's there? Honeydew! Honeydew who? Honeydew you know how fine you look right now? ,Are you a cat? Because you are purrrfect
You remind me of a magnet because you sure are attracting me over here. ,"If you were a song, you'd be the best single on the album. ",Are you a positron? Because I’m feeling positively attracted to you.,Baby ill be your asymptotes so i can shape your curves...,"Baby are you a motherboard?, Cause I'd ""RAM"" you all night long.",Can't sleep because you're always on my mind.,"Knock Knock Who's there? I love you! I love you who? Don't ask who, because it's you. ",Are you a crayon? Because you bring color to my life.
"I’m going to have to ask you to leave, you’re making everyone else in here look bad. ",You remind me of a magnet because you sure are attracting me over here. ,Are you a positron? Because you’re definitely on the top of my list of anti-things I’d like to pair up with.,Baby let me be your integral so I can be the space under your curves,Baby you know this junk isn't USB2.0..it's firewire!,Can't sleep without feeling the warmth of your body next to mine.,Knock knock Who's there? I love! I love who? Awwww I love you to. ,"Are you a fruit, because Honeydew you know how fine you look right now?"
"My parents told me not to talk to strangers, but I’ll make an exception for you.","I’m going to have to ask you to leave, you’re making everyone else in here look bad. ",Are you a quark? Because I feel like you complete me.,"Baby you must be a modulus sign, 'cos whenever you wrap your arms round me i always feel positive!","Baby you must be Google Glasses, because you augment my reality",Can't sleep without the sound of your breathing next to me.,Knock Knock Who's there? India! India who? What's it gonna take to get India pants. ,"Are you a girl scout, cause you tie my heart in knots."
"Do you believe in love at first sight, or should I walk by again?","My parents told me not to talk to strangers, but I’ll make an exception for you.",Are you a quark? Because we’d be a perfect match.,"Baby your like a student and I am like a math book, you solve all my problems.",Baby you're so cute you made my page 404.,"Can't sleep? Don't worry, I'll keep you company.","Knock Knock Who's there? Israel! Israel who? Do you wanna little Jewish in you, cause this dick Israel. ","Are you a hipster, because you make my hips stir."
"I hope you know CPR, because you are taking my breath away. ","Do you believe in love at first sight, or should I walk by again?","Are you a singularity? Because every time I get close to you, time just stops.","Baby, I wish you were x2 and I was x3/3 so I could be the area under your curve...","Baby, if they made you in C, you would have a pointer to my heart.",Can't sleep? Let me help you relax and unwind.,"Knock Knock Who's there? Juan! Juan who? The girl of your dreams, and your the Juan for me. ",Are you a Hurricane [name]? Because you're blowing me away.
"It's a good thing I have my library card, because I am totally checking you out. ","I hope you know CPR, because you are taking my breath away. ","Are you a singularity? Because from where I’m standing, time appears to have stopped.","Baby, let me find your nth term","Baby, if they made you in Java, you'd be the object of my desire.",Can't sleep? Let me hold you until we both doze off.,Knock Knock Who's there? Juno! Juno who? Juno I love you right? ,Are you a kidnapper? Because you just abducted my heart.
Are you a time traveler? Because I see you in my future. ,"It's a good thing I have my library card, because I am totally checking you out. ",Are you a singularity? Because you are my eternity.,"Baby, lim (u->me) ? e^x = f(u)^n.","Baby, let's configure our hard drives in master and slave position.",Can't sleep? Let's cuddle until we both drift off.,Knock knock Who's there? Love! Love who? Love this dick. ,Are you a light switch? 'Because you turn me on!
Your hand looks lonely. Can I hold it for you? ,Are you a time traveler? Because I see you in my future. ,Are you a uranium atom? Because I feel like I’m undergoing spontaneous fission in your presence.,"Baby, you're a 9.999999999...but you'd be a 10 if you were with me.","Baby, there is no part of my body that is Micro or Soft",Can't sleep? Let's make some unforgettable memories together.,Knock knock Who's there? Needle! Needle who? Needle a little love right now. ,"Are you a magician? Because whenever I look at you, everyone else disappears!"
